z05	b10btot	b10b11	b10b12	b10b21	b10b26	b10b11_p	b10b12_p	b10b21_p	b10b26_p	b16btot	b16b11	b16b12	b16b21	b16b26	b16b11_p	b16b12_p	b16b21_p	b16b26_p
55	4239	3461	839	3258	1046	81.65	19.79	76.86	24.68	4997	3834	1214	3590	1456	76.73	24.29	71.84	29.14
56	8900	6851	2116	6338	2635	76.98	23.78	71.21	29.61	9135	6683	2523	6096	3110	73.16	27.62	66.73	34.04
58	4262	3435	886	3279	1036	80.60	20.79	76.94	24.31	4792	3652	1191	3474	1372	76.21	24.85	72.50	28.63
59	7953	6524	1507	5956	2091	82.03	18.95	74.89	26.29	8427	6758	1753	6110	2386	80.19	20.80	72.51	28.31
60	8875	6859	2088	6607	2359	77.28	23.53	74.45	26.58	9356	6915	2503	6523	2900	73.91	26.75	69.72	31.00
62.1	5570	3640	1939	3252	2331	65.35	34.81	58.38	41.85	6112	3831	2289	3342	2773	62.68	37.45	54.68	45.37
62.2	7057	5127	1945	4434	2630	72.65	27.56	62.83	37.27	7289	4983	2320	4245	3055	68.36	31.83	58.24	41.91
62.3	5226	3954	1325	3547	1727	75.66	25.35	67.87	33.05	5359	3866	1542	3419	1981	72.14	28.77	63.80	36.97
64	5175	4505	758	4193	1050	87.05	14.65	81.02	20.29	5500	4600	960	4262	1304	83.64	17.45	77.49	23.71
66.1	4058	2677	1394	2449	1621	65.97	34.35	60.35	39.95	4177	2635	1555	2382	1805	63.08	37.23	57.03	43.21
66.2	5439	2420	3019	2306	3135	44.49	55.51	42.40	57.64	5757	2625	3133	2392	3369	45.60	54.42	41.55	58.52
66.3	5632	3455	2195	2956	2691	61.35	38.97	52.49	47.78	7053	3908	3151	3414	3645	55.41	44.68	48.40	51.68
67	6845	5953	989	5568	1445	86.97	14.45	81.34	21.11	7205	6019	1317	5562	1810	83.54	18.28	77.20	25.12
69.1	3785	2899	911	2681	1127	76.59	24.07	70.83	29.78	4205	3141	1076	2796	1419	74.70	25.59	66.49	33.75
69.2	4278	3397	905	3100	1189	79.41	21.15	72.46	27.79	4631	3561	1096	3201	1439	76.89	23.67	69.12	31.07
69.3	6097	3962	2156	3711	2407	64.98	35.36	60.87	39.48	6416	3998	2436	3597	2831	62.31	37.97	56.06	44.12
83	5481	4356	1157	4097	1421	79.47	21.11	74.75	25.93	5968	4532	1452	4185	1817	75.94	24.33	70.12	30.45
84	6205	4625	1646	4493	1783	74.54	26.53	72.41	28.73	6695	4878	1860	4619	2131	72.86	27.78	68.99	31.83
86	5712	4171	1582	4013	1744	73.02	27.70	70.26	30.53	5979	4170	1841	3927	2078	69.74	30.79	65.68	34.75
